Timestamp,Data-collectors-name,Journal-name,Full-Reference-APA,Year (first published online),Period/Date (archaeology and palaeoecology or modern for other studies),Type-of-study,Geographic-location (use https://www.geonames.org/ for country name),oa_status,Journal-type,What-article-repository,Is it available in sign up repository?,Processing-method-communication,Counting-method-is-replicable,Instruments-used-described,Nomenclature-used,Have they used it fully?,Data-location,What-data-repository,Data-type ,Data-format,Data-availability-statement,Data-license,Pictures or photos included for identifications,Statistical-software-used,Other-comments,,,,,,
11/8/2021 7:28:56,Céline Kerfant,Journal of South American Earth Sciences,"Contreras, S., Zucol, A. F., Méndez, C., & Zurita, A. (2019). Phytolith analysis in Pliocene-Pleistocene fluvial sediments from northeastern Argentina. Journal of South American Earth Sciences, 90, 296-313.",2019,Pliocene-Pleistocene,Palaeoecology,Argentina,closed,Hybrid,None-not-oa,,One reference to specific protocol,Yes,Yes,Other lab specific nomenclature to be added as we go,Not used,Data in supplementary file,None,Raw counts,.xslx,None,Data not in repository,All,"Manhattan distances and Infostat version 2016
","Protocol  of Zucol and Osterrieth 2002/Phytolith assemblages were described following an ad-hoc morphotype classification/For phytolith abundances, numerical analysis and graphical diagrams, POLPAL program were used.",,,,,,
11/8/2021 8:53:09,Céline Kerfant,Quaternary International,"Contreras, S. A., & Zucol, A. F. (2019). Late Quaternary vegetation history based on phytolith records in the eastern Chaco (Argentina). Quaternary International, 505, 21-33.",2018,Pleistocene-Holocene,Palaeoecology,Argentina,closed,Hybrid,None-not-oa,,One reference to specific protocol,No,No,Other lab specific nomenclature to be added as we go,Not used,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,All,"POLPAL program, Numerical Analysis",Protocol of Zucol and Osterrieth 2002/Phytolith assemblages were described following an ad-hoc morphotype classification,,,,,,
11/9/2021 4:00:38,Céline Kerfant,Revista Ambiência,"da Silva, D. W., Camargo Filho, M., Parolin, M., & Bertotti, L. G. (2016). Paleoenvironmental analysis from the main phytoliths morphotypes found in peat sediment in Guarapuava region-Paraná. Ambiência, 12(1), 13-32.",2016,Pleistocene,Palaeoecology,Brazil,gold,Open,None-gold,,One reference to generic ref or multiple references,No,Yes,Other lab specific nomenclature to be added as we go,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,Only significant ones,None,"Article in Portuguese/ Methodology used Faegri e Iversen (1975),  Parolin et al. (2006); Leonhardt e Lorscheitter (2007; 2008); Macedo et al. (2007); Bauermann et al. (2008),  Laboratório de Estudos Paleoambientais da Fecilcam – LEPAFE.",,,,,,
11/9/2021 4:47:54,Céline Kerfant,Flora,"Dias, R. R., Coe, H. H. G., Lepsch, I. F., Ricardo, S. D. F., da Silva, L. M. V., Alvarenga, A. C., & Rasbold, G. G. (2019). Morphological variation of phytoliths according to leaf senescence and position in the organs of Brachiaria decumbens. Flora, 260, 151478..",2019,Modern,Plant physiology,Brazil,closed,Hybrid,None-not-oa,,One reference to generic ref or multiple references,Yes,Yes,ICPN 1.0,Yes,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,All,Bioestat,"This article is about the phytolith production of a specific plant and is not a reference collection, should we add a new type of study choice such as plant morphology?",,,,,,
11/9/2021 8:35:09,Céline Kerfant,Cadernos do LEPAARQ,"Dickau, R., Iriarte, J., Quine, T., Soto, D., & Mayle, F. (2016). Reconstructing pre-Colombian agricultural practices in the Bolivian savannah: stratigraphic and phytolith evidence from raised fields at Campo España, western Llanos de Moxos. Cadernos do LEPAARQ (UFPEL), 13(25), 223-267.",2016,Pre-Columbian,Palaeoecology,Bolivia,diamond,Open,None-diamond,,One reference to specific protocol,No,Yes,None specified/not clear,Not used,Data in text of article,None,Raw counts,No data table,None,Data not in repository,Only significant ones,C2,Data ( raw counts) are in the appendices. It is an open access article (DOAJ seal) but I did not find any repository,,,,,,
11/9/2021 18:07:44,Javier Ruiz-Pérez,"Palaeogeography, Palaeoclimatology, Palaeoecology","Rasbold, G. G., McGlue, M. M., Stevaux, J. C., Parolin, M., Silva, A., & Bergier, I. (2019). Sponge spicule and phytolith evidence for Late Quaternary environmental changes in the tropical Pantanal wetlands of western Brazil. Palaeogeography, Palaeoclimatology, Palaeoecology, 518, 119-133",2019,Late Pleistocene-Holocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,No,ICPN 1.0,Yes,Data in supplementary file,None,Raw counts,.csv,None,Data not in repository,Only significant ones,"CONISS, Tilia",,,,,,,
11/9/2021 18:17:20,Javier Ruiz-Pérez,Quaternary International,"Ramos, R. S., Contreras, S. A., Vezzosi, R., Leon, D. C., & Tasso, J. C. (2020). Charred wood and plant microremains associated to Neosclerocalyptus sp.(Cingulata, Chlamyphoriidae, Glyptodontinae) from the Upper Pleistocene of Western Chaco, Argentina. Quaternary International, 554, 60-74",2020,Late Pleistocene,Palaeontology,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,None specified/not clear,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,All,None,"Counting method is not clear to me: ""For counting, the minimum representative sample of assemblages was obtained (500 elements per sample).""",,,,,,
11/9/2021 18:33:30,Javier Ruiz-Pérez,Journal of South American Earth Sciences,"Ramírez, A. I. A., Rasbold, G. G., Parolin, M., & Stevaux, J. C. (2019). Phytoliths and seeds in fluvial island paleoenviroment reconstruction (interaction with pollen analysis). Journal of South American Earth Sciences, 89, 30-38",2018,Late Holocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,Yes,Data in supplementary file,None,Raw counts,.doc,All data included,Data not in repository,Only significant ones,CONISS,,,,,,,
11/9/2021 18:54:29,Javier Ruiz-Pérez,Review of Palaeobotany and Palynology,"Plumpton, H. J., Mayle, F. M., & Whitney, B. S. (2020). Paleoecological potential of phytoliths from lake sediment records from the tropical lowlands of Bolivia. Review of Palaeobotany and Palynology, 275, 104113",2019,Modern,Methodological - modern reference,Bolivia,green,Hybrid,University or Institution repository,,One reference to generic ref or multiple references,Yes,Yes,None specified/not clear,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,R,"This study is a comparison of phytoliths and pollen grains from modern lake samples for palaeoecological studies (hence, classified as ""Methodological - modern reference"")",,,,,,
11/11/2021 15:22:14,Javier Ruiz-Pérez,The Holocene,"Plumpton, H., Whitney, B., & Mayle, F. (2019). Ecosystem turnover in palaeoecological records: The sensitivity of pollen and phytolith proxies to detecting vegetation change in southwestern Amazonia. The Holocene, 29(11), 1720-1730",2019,Modern and Late Pleistocene-Holocene,"Methodological - modern reference, Palaeoecology",Bolivia,green,Hybrid,University or Institution repository,,One reference to generic ref or multiple references,No,No,None specified/not clear,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,R,"This study compares modern phytoliths and pollen grains but also does a palaeoecological reconstruction (classified as ""Methodological - modern reference"" and ""Palaeoecology"").",,,,,,
